Time Casa, Time Fora, ID, Dia, Mes, Ano, Hora
GSW,TOR,0011600001,01,10,2016,19:30:00
DAL,NOP,0011600002,01,10,2016,20:00:00
SDS,HOU,0011600003,02,10,2016,20:00:00
OKC,RMD,0011600010,03,10,2016,14:30:00
DEN,TOR,0011600004,03,10,2016,20:00:00
MIL,CHI,0011600005,03,10,2016,20:00:00
ORL,MEM,0011600006,03,10,2016,20:00:00
CHA,DAL,0011600009,03,10,2016,20:30:00
SAS,PHX,0011600007,03,10,2016,22:00:00
UTA,POR,0011600008,03,10,2016,22:00:00
BOS,PHI,0011600011,04,10,2016,19:00:00
MIA,WAS,0011600012,04,10,2016,19:00:00
IND,NOP,0011600013,04,10,2016,20:00:00
NYK,HOU,0011600014,04,10,2016,20:00:00
SAC,LAL,0011600015,04,10,2016,22:00:00
LAC,GSW,0011600016,04,10,2016,22:30:00
OKC,FCB,0011600020,05,10,2016,14:30:00
ORL,CLE,0011600017,05,10,2016,19:00:00
UTA,PHX,0011600018,05,10,2016,22:00:00
TOR,LAC,0011600019,05,10,2016,22:30:00
WAS,PHI,0011600021,06,10,2016,19:00:00
CHI,IND,0011600022,06,10,2016,19:00:00
DET,BKN,0011600024,06,10,2016,19:30:00
BOS,CHA,0011600025,06,10,2016,19:30:00
ATL,MEM,0011600023,06,10,2016,20:00:00
SAC,GSW,0011600026,06,10,2016,22:30:00
PHX,POR,0011600027,07,10,2016,22:00:00
DEN,LAL,0011600028,07,10,2016,22:30:00
CHA,BOS,0011600029,08,10,2016,15:30:00
BKN,NYK,0011600031,08,10,2016,19:30:00
PHI,CLE,0011600033,08,10,2016,19:30:00
IND,CHI,0011600030,08,10,2016,20:00:00
MIN,MIA,0011600032,08,10,2016,20:30:00
DAL,MIL,0011600034,08,10,2016,20:30:00
ATL,SAS,0011600035,08,10,2016,20:30:00
NOP,HOU,0011600037,09,10,2016,07:30:00
DEN,LAL,0011600036,09,10,2016,21:30:00
MIN,CHA,0011600038,10,10,2016,19:00:00
WAS,NYK,0011600039,10,10,2016,19:30:00
CLE,ATL,0011600040,10,10,2016,19:30:00
SAS,DET,0011600041,10,10,2016,19:30:00
UTA,LAC,0011600042,10,10,2016,22:30:00
MAC,SAC,0011600043,10,10,2016,22:30:00
BKN,MIA,0011600045,11,10,2016,19:30:00
PHI,MEM,0011600044,11,10,2016,20:00:00
OKC,DAL,0011600046,11,10,2016,20:30:00
POR,LAL,0011600047,11,10,2016,22:30:00
HOU,NOP,0011600052,12,10,2016,07:30:00
SAS,ORL,0011600049,12,10,2016,19:00:00
MIL,IND,0011600048,12,10,2016,19:30:00
DEN,MIN,0011600050,12,10,2016,20:00:00
PHX,UTA,0011600051,12,10,2016,21:00:00
PHI,WAS,0011600053,13,10,2016,19:00:00
BOS,BKN,0011600055,13,10,2016,19:30:00
DET,ATL,0011600056,13,10,2016,19:30:00
MEM,OKC,0011600054,13,10,2016,20:00:00
TOR,CLE,0011600059,13,10,2016,20:00:00
POR,LAC,0011600057,13,10,2016,22:30:00
SAC,LAL,0011600058,13,10,2016,22:30:00
SLA,TOR,0011600060,14,10,2016,19:00:00
IND,ORL,0011600061,14,10,2016,19:00:00
CLE,CHI,0011600062,14,10,2016,20:00:00
MIA,SAS,0011600065,14,10,2016,20:30:00
GSW,DEN,0011600063,14,10,2016,21:00:00
DAL,PHX,0011600064,14,10,2016,22:00:00
DET,PHI,0011600066,15,10,2016,19:00:00
WAS,SAC,0011600069,15,10,2016,19:00:00
BOS,NYK,0011600070,15,10,2016,19:30:00
MIN,MIA,0011600071,15,10,2016,19:30:00
MEM,HOU,0011600067,15,10,2016,20:00:00
CHI,MIL,0011600072,15,10,2016,20:30:00
GSW,LAL,0011600068,15,10,2016,22:00:00
ATL,ORL,0011600073,16,10,2016,18:00:00
MIN,OKC,0011600074,16,10,2016,19:00:00
DEN,POR,0011600075,16,10,2016,21:00:00
BKN,BOS,0011600078,17,10,2016,19:30:00
MIL,DET,0011600079,17,10,2016,19:30:00
CHA,CHI,0011600076,17,10,2016,20:00:00
LAC,UTA,0011600077,17,10,2016,21:00:00
WAS,CLE,0011600080,18,10,2016,19:00:00
NOP,ATL,0011600083,18,10,2016,19:30:00
ORL,MIA,0011600084,18,10,2016,19:30:00
DEN,OKC,0011600081,18,10,2016,20:00:00
LAC,SAC,0011600082,18,10,2016,22:00:00
NYK,BOS,0011600089,19,10,2016,19:30:00
TOR,DET,0011600090,19,10,2016,19:30:00
IND,MIL,0011600085,19,10,2016,20:00:00
MEM,MIN,0011600086,19,10,2016,20:00:00
HOU,DAL,0011600091,19,10,2016,20:30:00
POR,UTA,0011600087,19,10,2016,21:00:00
GSW,LAL,0011600088,19,10,2016,22:00:00
MIA,CHA,0011600092,20,10,2016,19:00:00
NOP,ORL,0011600093,20,10,2016,19:00:00
NYK,BKN,0011600095,20,10,2016,19:30:00
ATL,CHI,0011600094,20,10,2016,20:00:00
TOR,WAS,0011600096,21,10,2016,19:00:00
PHI,MIA,0011600100,21,10,2016,19:30:00
CHA,MIN,0011600097,21,10,2016,20:00:00
HOU,SAS,0011600101,21,10,2016,20:30:00
DAL,DEN,0011600098,21,10,2016,21:00:00
PHX,LAL,0011600099,21,10,2016,22:00:00
POR,GSW,0011600102,21,10,2016,22:30:00
NYK,CLE,0021600001,25,10,2016,20:00:00
UTA,POR,0021600002,25,10,2016,22:00:00
SAS,GSW,0021600003,25,10,2016,22:30:00
MIA,ORL,0021600004,26,10,2016,19:00:00
DAL,IND,0021600005,26,10,2016,19:00:00
BKN,BOS,0021600006,26,10,2016,19:30:00
DET,TOR,0021600007,26,10,2016,19:30:00
CHA,MIL,0021600008,26,10,2016,20:00:00
MIN,MEM,0021600009,26,10,2016,20:00:00
DEN,NOP,0021600010,26,10,2016,20:00:00
OKC,PHI,0021600011,26,10,2016,20:00:00
SAC,PHX,0021600012,26,10,2016,22:00:00
HOU,LAL,0021600013,26,10,2016,22:30:00
WAS,ATL,0021600014,27,10,2016,19:30:00
BOS,CHI,0021600015,27,10,2016,20:00:00
SAS,SAC,0021600016,27,10,2016,22:30:00
LAC,POR,0021600017,27,10,2016,22:30:00
CLE,TOR,0021600018,28,10,2016,19:00:00
IND,BKN,0021600019,28,10,2016,19:30:00
ORL,DET,0021600020,28,10,2016,19:30:00
PHX,OKC,0021600021,28,10,2016,20:00:00
CHA,MIA,0021600022,28,10,2016,20:00:00
HOU,DAL,0021600023,28,10,2016,20:30:00
LAL,UTA,0021600024,28,10,2016,21:00:00
GSW,NOP,0021600025,28,10,2016,21:30:00
ATL,PHI,0021600026,29,10,2016,12:30:00
BOS,CHA,0021600027,29,10,2016,19:00:00
MEM,NYK,0021600028,29,10,2016,19:30:00
ORL,CLE,0021600029,29,10,2016,19:30:00
IND,CHI,0021600030,29,10,2016,20:00:00
BKN,MIL,0021600031,29,10,2016,20:00:00
NOP,SAS,0021600032,29,10,2016,20:00:00
POR,DEN,0021600033,29,10,2016,21:00:00
MIN,SAC,0021600034,29,10,2016,22:30:00
UTA,LAC,0021600035,30,10,2016,16:30:00
GSW,PHX,0021600036,30,10,2016,18:00:00
SAS,MIA,0021600037,30,10,2016,18:00:00
MIL,DET,0021600038,30,10,2016,18:00:00
LAL,OKC,0021600040,30,10,2016,19:00:00
WAS,MEM,0021600039,30,10,2016,20:00:00
DAL,HOU,0021600041,30,10,2016,20:00:00
DEN,TOR,0021600042,31,10,2016,19:30:00
CHI,BKN,0021600043,31,10,2016,19:30:00
SAC,ATL,0021600044,31,10,2016,19:30:00
PHX,LAC,0021600045,31,10,2016,22:30:00
ORL,PHI,0021600046,01,11,2016,19:00:00
HOU,CLE,0021600047,01,11,2016,19:00:00
LAL,IND,0021600048,01,11,2016,19:00:00
SAC,MIA,0021600049,01,11,2016,19:30:00
NYK,DET,0021600050,01,11,2016,19:30:00
MIL,NOP,0021600051,01,11,2016,20:00:00
MEM,MIN,0021600052,01,11,2016,20:00:00
UTA,SAS,0021600053,01,11,2016,20:30:00
GSW,POR,0021600054,01,11,2016,22:00:00
TOR,WAS,0021600055,02,11,2016,19:00:00
PHI,CHA,0021600056,02,11,2016,19:00:00
DET,BKN,0021600057,02,11,2016,19:30:00
HOU,NYK,0021600058,02,11,2016,19:30:00
LAL,ATL,0021600059,02,11,2016,19:30:00
NOP,MEM,0021600060,02,11,2016,20:00:00
CHI,BOS,0021600061,02,11,2016,20:00:00
DAL,UTA,0021600062,02,11,2016,21:00:00
POR,PHX,0021600063,02,11,2016,22:00:00
OKC,LAC,0021600064,02,11,2016,22:30:00
SAC,ORL,0021600065,03,11,2016,19:00:00
IND,MIL,0021600066,03,11,2016,20:00:00
DEN,MIN,0021600067,03,11,2016,20:00:00
BOS,CLE,0021600068,03,11,2016,20:00:00
OKC,GSW,0021600069,03,11,2016,22:30:00
ATL,WAS,0021600070,04,11,2016,19:00:00
MIA,TOR,0021600071,04,11,2016,19:30:00
CHA,BKN,0021600072,04,11,2016,19:30:00
NYK,CHI,0021600073,04,11,2016,20:00:00
LAC,MEM,0021600074,04,11,2016,20:00:00
PHX,NOP,0021600075,04,11,2016,20:00:00
POR,DAL,0021600076,04,11,2016,20:30:00
SAS,UTA,0021600077,04,11,2016,21:00:00
GSW,LAL,0021600078,04,11,2016,22:30:00
MIN,OKC,0021600079,05,11,2016,18:00:00
CLE,PHI,0021600080,05,11,2016,19:00:00
WAS,ORL,0021600081,05,11,2016,19:00:00
DEN,DET,0021600082,05,11,2016,19:00:00
CHI,IND,0021600083,05,11,2016,19:00:00
HOU,ATL,0021600084,05,11,2016,19:30:00
SAC,MIL,0021600085,05,11,2016,20:00:00
LAC,SAS,0021600086,05,11,2016,20:30:00
UTA,NYK,0021600087,06,11,2016,12:00:00
POR,MEM,0021600088,06,11,2016,15:30:00
SAC,TOR,0021600089,06,11,2016,18:00:00
MIL,DAL,0021600090,06,11,2016,19:00:00
DEN,BOS,0021600091,06,11,2016,19:30:00
PHX,LAL,0021600092,06,11,2016,21:30:00
UTA,PHI,0021600093,07,11,2016,19:00:00
HOU,WAS,0021600094,07,11,2016,19:00:00
IND,CHA,0021600095,07,11,2016,19:00:00
ORL,CHI,0021600096,07,11,2016,20:00:00
MIA,OKC,0021600097,07,11,2016,20:00:00
DET,LAC,0021600098,07,11,2016,22:30:00
NOP,GSW,0021600099,07,11,2016,22:30:00
ATL,CLE,0021600100,08,11,2016,19:00:00
MIN,BKN,0021600101,08,11,2016,19:30:00
DEN,MEM,0021600102,08,11,2016,20:00:00
PHX,POR,0021600103,08,11,2016,22:00:00
DAL,LAL,0021600104,08,11,2016,22:30:00
NOP,SAC,0021600105,08,11,2016,22:30:00
BKN,NYK,0021600106,09,11,2016,19:00:00
BOS,WAS,0021600107,09,11,2016,19:00:00
UTA,CHA,0021600108,09,11,2016,19:00:00
MIN,ORL,0021600109,09,11,2016,19:00:00
PHI,IND,0021600110,09,11,2016,19:00:00
CHI,ATL,0021600111,09,11,2016,19:30:00
TOR,OKC,0021600112,09,11,2016,20:00:00
DET,PHX,0021600113,09,11,2016,21:00:00
HOU,SAS,0021600114,09,11,2016,21:30:00
POR,LAC,0021600115,09,11,2016,22:30:00
DAL,GSW,0021600116,09,11,2016,22:30:00
NOP,MIL,0021600117,10,11,2016,20:00:00
CHI,MIA,0021600118,10,11,2016,20:00:00
GSW,DEN,0021600119,10,11,2016,21:00:00
LAL,SAC,0021600120,10,11,2016,22:30:00
IND,PHI,0021600121,11,11,2016,19:00:00
CLE,WAS,0021600122,11,11,2016,19:00:00
TOR,CHA,0021600123,11,11,2016,19:00:00
UTA,ORL,0021600124,11,11,2016,19:00:00
NYK,BOS,0021600125,11,11,2016,19:30:00
LAC,OKC,0021600126,11,11,2016,20:00:00
DET,SAS,0021600127,11,11,2016,20:30:00
SAC,POR,0021600128,11,11,2016,22:00:00
LAL,NOP,0021600129,12,11,2016,19:00:00
BOS,IND,0021600130,12,11,2016,19:00:00
NYK,TOR,0021600131,12,11,2016,19:30:00
PHI,ATL,0021600132,12,11,2016,19:30:00
WAS,CHI,0021600133,12,11,2016,20:00:00
SAS,HOU,0021600134,12,11,2016,20:00:00
LAC,MIN,0021600135,12,11,2016,20:00:00
UTA,MIA,0021600136,12,11,2016,20:00:00
MEM,MIL,0021600137,12,11,2016,20:30:00
DET,DEN,0021600138,12,11,2016,21:00:00
BKN,PHX,0021600139,12,11,2016,21:00:00
CHA,CLE,0021600140,13,11,2016,15:30:00
ORL,OKC,0021600141,13,11,2016,19:00:00
LAL,MIN,0021600142,13,11,2016,19:00:00
PHX,GSW,0021600143,13,11,2016,20:00:00
DEN,POR,0021600144,13,11,2016,21:00:00
ORL,IND,0021600145,14,11,2016,19:00:00
DAL,NYK,0021600146,14,11,2016,19:30:00
OKC,DET,0021600147,14,11,2016,19:30:00
BOS,NOP,0021600148,14,11,2016,20:00:00
PHI,HOU,0021600149,14,11,2016,20:00:00
MIA,SAS,0021600150,14,11,2016,20:30:00
MEM,UTA,0021600151,14,11,2016,21:00:00
BKN,LAC,0021600152,14,11,2016,22:30:00
TOR,CLE,0021600153,15,11,2016,19:00:00
ATL,MIA,0021600154,15,11,2016,19:30:00
CHA,MIN,0021600155,15,11,2016,20:00:00
CHI,POR,0021600156,15,11,2016,22:00:00
BKN,LAL,0021600157,15,11,2016,22:30:00
